ML Model,Accuracy,Precision,Recall,F1 Score,AUC,MCC
Logistic Regression,0.8527918781725888,0.8181818181818182,0.54,0.6506024096385542,0.7495918367346939,0.5817349389237921
Decision Tree,0.8020304568527918,0.6078431372549019,0.62,0.6138613861386139,0.7419727891156463,0.480815743760385
KNN,0.8426395939086294,0.7209302325581395,0.62,0.6666666666666666,0.7691836734693878,0.5671889907506517
Naive Bayes,0.4010152284263959,0.29518072289156627,0.98,0.4537037037037037,0.5920408163265306,0.2199982550277014
Random Forest,0.8629441624365483,0.8108108108108109,0.6,0.6896551724137931,0.7761904761904761,0.6154907219681129
